ESTADOS;UF;janeiro/04;fevereiro/04;março/04;abril/04;maio/04;junho/04;julho/04;agosto/04;setembro/04;outubro/04;novembro/04;dezembro/04;janeiro/05;fevereiro/05;março/05;abril/05;maio/05;junho/05;julho/05;agosto/05;setembro/05;outubro/05;novembro/05;dezembro/05;janeiro/06;fevereiro/06;março/06;abril/06;maio/06;junho/06;julho/06;agosto/06;setembro/06;outubro/06;novembro/06;dezembro/06;janeiro/07;fevereiro/07;março/07;abril/07;maio/07;junho/07;julho/07;agosto/07;setembro/07;outubro/07;novembro/07;dezembro/07;janeiro/08;fevereiro/08;março/08;abril/08;maio/08;junho/08;julho/08;agosto/08;setembro/08;outubro/08;novembro/08;dezembro/08;janeiro/09;fevereiro/09;março/09;abril/09;maio/09;junho/09;julho/09;agosto/09;setembro/09;outubro/09;novembro/09;dezembro/09;janeiro/10;fevereiro/10;março/10;abril/10;maio/10;junho/10;julho/10;agosto/10;setembro/10;outubro/10;novembro/10;dezembro/10;janeiro/11;fevereiro/11;março/11;abril/11;maio/11;junho/11;julho/11;agosto/11;setembro/11;outubro/11;novembro/11;dezembro/11;janeiro/12;fevereiro/12;março/12;abril/12;maio/12;junho/12;julho/12;agosto/12;setembro/12;outubro/12;novembro/12;dezembro/12;janeiro/13;fevereiro/13;março/13;abril/13;maio/13;junho/13;julho/13;agosto/13;setembro/13;outubro/13;novembro/13;dezembro/13;janeiro/14;fevereiro/14;março/14;abril/14;maio/14;junho/14;julho/14;agosto/14;setembro/14;outubro/14;novembro/14;dezembro/14;janeiro/15;fevereiro/15;março/15;abril/15;maio/15;junho/15;julho/15;agosto/15;setembro/15;outubro/15;novembro/15;dezembro/15;janeiro/16;fevereiro/16;março/16;abril/16;maio/16;junho/16;julho/16;agosto/16;setembro/16;outubro/16;novembro/16;dezembro/16;janeiro/17;fevereiro/17;março/17;abril/17;maio/17;junho/17;julho/17;agosto/17;setembro/17;outubro/17;novembro/17;dezembro/17;janeiro/18;fevereiro/18;março/18;abril/18;maio/18;junho/18;julho/18;agosto/18;setembro/18;outubro/18;novembro/18;dezembro/18;janeiro/19;fevereiro/19;março/19;abril/19;maio/19;junho/19;julho/19;agosto/19;setembro/19;outubro/19;novembro/19;dezembro/19;janeiro/20;fevereiro/20;março/20;abril/20;maio/20;junho/20;julho/20;agosto/20;setembro/20;outubro/20;novembro/20;dezembro/20;janeiro/21;fevereiro/21;março/21;abril/21;maio/21;junho/21;julho/21;agosto/21;setembro/21;outubro/21;novembro/21;dezembro/21;janeiro/22;fevereiro/22;março/22;abril/22;maio/22;junho/22;julho/22;agosto/22;setembro/22;outubro/22;novembro/22;dezembro/22
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maranhão;MA;0,00;0,00;0,00;0,00;0,00;0,00;17.140.331,25;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;2.448.618,75;0,00;4.897.237,50;2.448.618,75;2.448.618,75;0,00;13.764.037,50;8.866.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.521.721,88;25.521.721,88;0,00;0,00;18.898.936,88;0,00;7.143.223,74;3.571.611,87;3.571.611,87;3.571.611,87;3.571.611,87;3.571.611,87;3.571.611,87;3.571.611,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.013.187,50;0,00;53.224.957,50;0,00;0,00;0,00;0,00;0,00;30.118.871,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.925.877,81;19.851.755,63;0,00;9.925.877,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.422.360,00;10.422.360,00;10.422.360,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;28.536.153,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 25.245.528,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12.117.836,26 ; 6.058.918,13 ; 6.058.918,13 ; -   ; -   ; -   ; 6.254.186,25 ; 6.254.186,25 ; 6.254.186,25 ; -   ; -   ; -   ; -   ; -   ; 34.478.583,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 24.465.263,56 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Minas Gerais;MG;0,00;0,00;0,00;0,00;0,00;0,00;24.893.268,75;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;3.556.181,25;0,00;7.112.362,50;39.229.256,25;35.673.075,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61.761.009,38;61.761.009,37;0,00;0,00;78.061.230,00;0,00;10.102.397,50;5.051.198,75;5.051.198,75;5.051.198,75;5.051.198,75;5.051.198,75;5.051.198,75;5.051.198,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;82.155.450,00;151.543.210,00;116.849.330,00;0,00;0,00;0,00;0,00;0,00;248.192.100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66.644.004,38;133.288.008,77;0,00;66.644.004,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;87.540.521,25;87.540.521,25;87.540.521,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;362.906.651,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 316.610.043,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 137.628.781,88 ; 68.814.390,94 ; 68.814.390,94 ; -   ; -   ; -   ; 89.617.563,75 ; 89.617.563,75 ; 89.617.563,75 ; -   ; -   ; -   ; -   ; -   ; 240.234.198,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 191.857.671,51 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Mato Grosso do Sul;MS;0,00;0,00;0,00;0,00;0,00;0,00;6.679.575,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;954.225,00;5.673.825,00;4.719.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.315.362,50;11.315.362,50;0,00;0,00;10.171.906,88;0,00;2.768.626,24;1.384.313,12;1.384.313,12;1.384.313,12;1.384.313,12;1.384.313,12;1.384.313,12;1.384.313,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.468.712,50;18.510.407,50;13.989.560,00;0,00;0,00;0,00;0,00;0,00;27.360.888,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.179.814,69;14.359.629,38;0,00;7.179.814,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.424.691,25;9.424.691,25;9.424.691,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;33.575.197,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 37.269.033,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 27.835.616,26 ; 13.917.808,13 ; 13.917.808,13 ; -   ; -   ; -   ; 21.202.155,00 ; 21.202.155,00 ; 21.202.155,00 ; -   ; -   ; -   ; -   ; -   ; 63.849.678,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80.722.617,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Mato Grosso;MT;0,00;0,00;0,00;0,00;0,00;0,00;36.992.025,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;5.284.575,00;0,00;10.569.150,00;5.284.575,00;5.284.575,00;20.756.925,00;15.472.350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;51.111.450,00;51.111.450,00;0,00;0,00;32.652.067,50;0,00;15.460.185,00;7.730.092,50;7.730.092,50;7.730.092,50;7.730.092,50;7.730.092,50;7.730.092,50;7.730.092,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59.862.562,50;88.886.622,50;74.374.592,50;0,00;0,00;0,00;0,00;0,00;199.120.837,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59.100.356,25;118.200.712,50;0,00;59.100.356,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;71.828.201,25;71.828.201,25;71.828.201,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;178.173.450,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 248.599.552,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 148.345.543,12 ; 74.172.771,56 ; 74.172.771,56 ; -   ; -   ; -   ; 105.577.875,00 ; 105.577.875,00 ; 105.577.875,00 ; -   ; -   ; -   ; -   ; -   ; 293.822.392,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 374.915.298,76 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Pará;PA;0,00;0,00;0,00;0,00;0,00;0,00;54.697.387,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;7.813.912,50;33.945.525,00;26.131.612,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79.099.678,13;79.099.678,12;0,00;0,00;55.504.653,75;0,00;22.821.045,00;11.410.522,50;11.410.522,50;11.410.522,50;11.410.522,50;11.410.522,50;11.410.522,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30.083.625,00;79.421.095,00;54.752.360,00;0,00;0,00;0,00;0,00;0,00;107.811.258,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30.274.664,06;60.549.328,13;0,00;30.274.664,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30.493.271,25;30.493.271,25;30.493.271,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;147.676.230,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 133.576.413,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 71.679.099,38 ; 35.839.549,69 ; 35.839.549,69 ; -   ; -   ; -   ; 52.196.771,25 ; 52.196.771,25 ; 52.196.771,25 ; -   ; -   ; -   ; -   ; -   ; 125.173.620,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 106.236.986,20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Paraíba;PB;0,00;0,00;0,00;0,00;0,00;0,00;5.631.412,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;804.487,50;3.142.687,50;2.338.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.762.218,75;7.762.218,76;0,00;0,00;4.932.281,25;0,00;2.353.812,50;1.176.906,25;1.176.906,25;1.176.906,25;1.176.906,25;1.176.906,25;1.176.906,25;1.176.906,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.137.825,00;5.522.075,00;3.329.950,00;0,00;0,00;0,00;0,00;0,00;4.497.918,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.019.033,43;2.038.066,86;0,00;1.019.033,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.515.052,50;1.515.052,50;1.515.052,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;4.731.333,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 5.072.827,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.656.061,88 ; 828.030,94 ; 828.030,94 ; -   ; -   ; -   ; 706.972,50 ; 706.972,50 ; 706.972,50 ; -   ; -   ; -   ; -   ; -   ; 2.921.490,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.644.151,68 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Pernambuco;PE;0,00;0,00;0,00;0,00;0,00;0,00;2.717.662,50;388.237,50;388.237,50;388.237,50;388.237,50;0,00;388.237,50;388.237,50;388.237,50;388.237,50;388.237,50;388.237,50;0,00;776.475,00;0,00;0,00;388.237,50;5.226.525,00;4.450.050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.923.840,63;6.923.840,62;0,00;0,00;8.893.828,13;0,00;1.100.856,26;0,00;550.428,13;1.100.856,26;550.428,13;0,00;550.428,11;1.100.856,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.967.487,50;0,00;23.793.412,50;0,00;0,00;0,00;0,00;0,00;7.739.257,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.642.204,69;3.284.409,38;0,00;1.642.204,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.612.228,75;3.612.228,75;3.612.228,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;7.876.001,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 7.680.757,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.078.943,76 ; 1.039.471,88 ; 1.039.471,88 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.310.018,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50.435,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Piauí;PI;0,00;0,00;0,00;0,00;0,00;0,00;3.812.681,25;544.668,75;544.668,75;544.668,75;544.668,75;0,00;544.668,75;1.089.337,50;544.668,75;544.668,75;544.668,75;544.668,75;544.668,75;544.668,75;544.668,75;544.668,75;544.668,75;2.360.756,25;1.816.087,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.507.775,00;5.507.775,00;0,00;0,00;3.856.758,75;0,00;1.590.842,50;795.421,25;795.421,25;795.421,25;795.421,25;795.421,25;795.421,25;795.421,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35.100,00;3.463.330,00;1.749.215,00;0,00;0,00;0,00;0,00;0,00;2.259.562,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.088.282,81;2.176.565,63;0,00;1.088.282,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.358.760,00;1.358.760,00;1.358.760,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;2.966.973,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 4.680.731,25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.702.861,88 ; 851.430,94 ; 851.430,94 ; -   ; -   ; -   ; 907.530,00 ; 907.530,00 ; 907.530,00 ; -   ; -   ; -   ; -   ; -   ; 6.701.906,25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7.445.750,44 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Paraná;PR;0,00;0,00;0,00;0,00;0,00;0,00;34.131.431,25;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;4.875.918,75;37.211.793,75;32.335.875,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66.724.003,13;66.724.003,12;0,00;0,00;70.226.325,00;0,00;14.049.262,50;7.024.631,25;7.024.631,25;7.024.631,25;7.024.631,25;7.024.631,25;7.024.631,25;7.024.631,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24.218.512,50;86.641.912,50;55.430.212,50;0,00;0,00;0,00;0,00;0,00;102.664.575,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21.296.778,75;42.593.557,50;0,00;21.296.778,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.101.818,75;20.101.818,75;20.101.818,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;66.970.946,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 77.768.437,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40.576.477,50 ; 20.288.238,75 ; 20.288.238,75 ; -   ; -   ; -   ; 33.597.183,75 ; 33.597.183,75 ; 33.597.183,75 ; -   ; -   ; -   ; -   ; -   ; 67.827.386,25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 108.743.977,22 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Rio de Janeiro;RJ;0,00;0,00;0,00;0,00;0,00;0,00;9.142.875,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;0,00;2.612.250,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;1.306.125,00;16.859.812,50;15.553.687,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.339.640,63;25.339.640,62;0,00;0,00;34.113.836,25;0,00;3.681.210,00;1.840.605,00;1.840.605,00;1.840.605,00;1.840.605,00;1.840.605,00;1.840.605,00;1.840.605,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39.810.712,50;70.134.122,50;54.972.417,50;0,00;0,00;0,00;0,00;0,00;58.088.306,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16.599.155,63;33.198.311,27;0,00;16.599.155,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23.444.460,00;23.444.460,00;23.444.460,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;82.288.293,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 48.685.016,25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 21.568.730,62 ; 10.784.365,31 ; 10.784.365,31 ; -   ; -   ; -   ; 19.928.805,00 ; 19.928.805,00 ; 19.928.805,00 ; -   ; -   ; -   ; -   ; -   ; 94.938.772,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55.974.660,39 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Rio Grande do Norte;RN;0,00;0,00;0,00;0,00;0,00;0,00;7.601.343,75;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;1.085.906,25;4.185.506,25;3.099.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.416.290,63;10.416.290,62;0,00;0,00;6.532.183,13;0,00;3.177.866,26;1.588.933,13;1.588.933,13;1.588.933,13;1.588.933,13;1.588.933,13;0,00;3.177.866,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.305.737,50;9.112.122,50;6.208.930,00;0,00;0,00;0,00;0,00;0,00;12.033.303,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.544.750,00;5.089.500,00;0,00;2.544.750,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.297.401,25;3.297.401,25;3.297.401,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;0,00;0,00;7.434.911,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ; 5.498.122,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.479.230,00 ; 1.239.615,00 ; 1.239.615,00 ; -   ; -   ; -   ; 1.963.845,00 ; 1.963.845,00 ; 1.963.845,00 ; -   ; -   ; -   ; -   ; -   ; 7.221.678,75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.411.833,35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
