MINISTÉRIO DA FAZENDA - MF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SECRETARIA DO TESOURO NACIONAL - STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO-GERAL DE ANÁLISE E INFORMAÇÕES DAS TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTADOS;UF;janeiro/20;fevereiro/20;março/20;abril/20;maio/20;junho/20;julho/20;agosto/20;setembro/20;outubro/20;novembro/20;dezembro/20;janeiro/21;fevereiro/21;março/21;abril/21;maio/21;junho/21;julho/21;agosto/21;setembro/21;outubro/21;novembro/21;dezembro/21;janeiro/22;fevereiro/22;março/22;abril/22;maio/22;junho/22;julho/22;agosto/22;setembro/22;outubro/22;novembro/22;dezembro/22;janeiro/23;fevereiro/23;março/23;abril/23;maio/23;junho/23;julho/23;agosto/23;setembro/23;outubro/23;novembro/23;dezembro/23
Maranhão;MA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16.887.424,59 ; 1.515.694,03 ; 3.030.185,30 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.515.092,65 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.556.901,60 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; 1.719.897,67 ; -   ; -   ; -   
Minas Gerais;MG; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 86.760.204,15 ; 45.706.286,42 ; 21.682.459,06 ; 10.841.229,53 ; 10.841.229,53 ; 10.841.229,53 ; 10.841.229,53 ; 10.841.229,53 ; 10.841.229,53 ; 10.841.229,53 ; 10.866.570,83 ; 10.878.155,54 ; 10.843.771,93 ; 12.183.892,46 ; 12.183.892,46 ; 12.183.881,75 ; 12.183.881,75 ; 12.183.881,75 ; 12.183.881,75 ; 12.183.921,02 ; 12.183.921,02 ; 12.183.921,02 ; 12.183.921,02 ; 12.183.921,02 ; 12.183.921,02 ; 12.199.467,90 ; 12.199.467,90 ; 12.199.467,90 ; 12.199.467,90 ; 12.199.467,90 ; 12.199.467,90 ; 12.199.467,90 ; 12.199.467,90 ; 12.198.937,69 ; -   ; -   ; -   
Mato Grosso do Sul;MS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 28.414.049,57 ; 5.600.250,40 ; 5.780.475,94 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.890.237,97 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.893.566,90 ; 2.721.521,54 ; 2.721.521,52 ; 2.721.521,52 ; 2.721.521,52 ; 2.721.521,52 ; 2.721.521,52 ; 2.721.521,51 ; 2.721.521,51 ; 2.721.521,52 ; -   ; -   ; -   
Mato Grosso;MT; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 119.135.316,18 ; 20.948.833,81 ; 24.878.854,50 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.439.427,25 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.861.588,74 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; 12.807.736,93 ; -   ; -   ; -   
Pará;PA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 58.453.354,58 ; 19.620.145,44 ; 14.899.327,32 ; 7.449.663,66 ; 7.449.663,66 ; 7.449.663,66 ; 7.449.663,66 ; 7.449.663,66 ; 7.449.663,67 ; 7.449.663,67 ; 7.449.663,67 ; 7.449.663,68 ; 7.449.663,68 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 8.741.954,86 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; 7.224.039,11 ; -   ; -   ; -   
Paraíba;PB; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.463.714,21 ; 92.329,23 ; 246.765,60 ; 123.382,80 ; 123.382,80 ; 123.382,80 ; 123.382,80 ; 123.382,80 ; 123.382,81 ; 123.382,81 ; 123.382,81 ; 123.382,83 ; 123.382,83 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.236,60 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; 113.257,61 ; -   ; -   ; -   
Pernambuco;PE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5.288.978,49 ; 2.161.835,63 ; 1.253.887,34 ; 626.943,67 ; 626.943,67 ; 626.943,68 ; 626.943,68 ; 626.943,68 ; 626.943,68 ; 626.943,68 ; 626.943,68 ; 626.943,68 ; 626.943,68 ; 597.426,90 ; 597.426,90 ; 597.426,90 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 597.426,89 ; 599.041,07 ; 599.041,06 ; 599.041,06 ; 599.041,06 ; 599.041,06 ; 599.041,06 ; 599.041,06 ; 599.041,06 ; 599.041,06 ; -   ; -   ; -   
Piauí;PI; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5.587.689,87 ; 651.174,99 ; 1.006.416,22 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 503.208,11 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 528.694,39 ; 668.284,53 ; 668.284,53 ; 668.284,53 ; 668.284,53 ; 668.284,53 ; 668.284,53 ; 668.284,52 ; 668.284,52 ; 668.284,53 ; -   ; -   ; -   
Paraná;PR; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46.663.420,27 ; 36.881.702,91 ; 13.564.288,72 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,36 ; 6.782.144,38 ; 6.782.144,38 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,07 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.942.713,08 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; 5.131.272,62 ; -   ; -   ; -   
Rio de Janeiro;RJ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7.214.573,41 ; 17.269.580,84 ; 4.073.996,52 ; 2.036.998,26 ; 2.036.998,26 ; 2.040.077,37 ; 2.040.077,37 ; 2.040.077,37 ; 2.060.751,55 ; 2.060.751,55 ; 2.060.751,55 ; 2.060.751,55 ; 2.060.751,55 ; 2.152.032,56 ; 2.152.032,56 ; 2.152.032,56 ; 2.152.032,56 ; 2.152.032,56 ; 2.151.343,51 ; 2.151.343,51 ; 2.151.343,51 ; 2.166.912,06 ; 2.166.912,06 ; 2.166.912,06 ; 2.166.912,06 ; 2.544.981,01 ; 2.544.981,01 ; 2.544.981,01 ; 2.544.981,01 ; 2.544.981,01 ; 2.544.981,01 ; 2.569.737,04 ; 2.569.737,04 ; 2.569.737,04 ; -   ; -   ; -   
