MINISTÉRIO DA FAZENDA - MF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SECRETARIA DO TESOURO NACIONAL - STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO-GERAL DE ANÁLISE E INFORMAÇÕES DAS TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTADOS;UF;janeiro/20;fevereiro/20;março/20;abril/20;maio/20;junho/20;julho/20;agosto/20;setembro/20;outubro/20;novembro/20;dezembro/20;janeiro/21;fevereiro/21;março/21;abril/21;maio/21;junho/21;julho/21;agosto/21;setembro/21;outubro/21;novembro/21;dezembro/21;janeiro/22;fevereiro/22;março/22;abril/22;maio/22;junho/22;julho/22;agosto/22;setembro/22;outubro/22;novembro/22;dezembro/22;janeiro/23;fevereiro/23;março/23;abril/23;maio/23;junho/23;julho/23;agosto/23;setembro/23;outubro/23;novembro/23;dezembro/23
Maranhão;MA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56.254.050,00 ; -   ; 9.261.651,02 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.630.825,51 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 4.783.537,77 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; 5.327.438,47 ; -   ; -   ; -   
Minas Gerais;MG; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 397.665.450,00 ; -   ; 65.088.556,56 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 32.544.278,28 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.567.277,04 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; 36.613.168,64 ; -   ; -   ; -   
Mato Grosso do Sul;MS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 102.042.900,00 ; -   ; 17.341.427,84 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.670.713,92 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.680.700,71 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; 8.164.564,49 ; -   ; -   ; -   
Mato Grosso;MT; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 420.252.450,00 ; -   ; 74.636.563,96 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 37.318.281,98 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.584.766,12 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; 38.423.210,80 ; -   ; -   ; -   
Pará;PA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 234.220.500,00 ; -   ; 44.697.981,76 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 22.348.990,88 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 26.225.864,58 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; 21.672.117,37 ; -   ; -   ; -   
Paraíba;PB; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.936.500,00 ; -   ; 782.575,02 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 391.287,51 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; 359.375,00 ; -   ; -   ; -   
Pernambuco;PE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 23.186.400,00 ; -   ; 3.902.150,04 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.951.075,02 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; 1.857.062,50 ; -   ; -   ; -   
Piauí;PI; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 18.811.200,00 ; -   ; 3.036.450,46 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.518.225,23 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 1.594.012,62 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; 2.014.875,49 ; -   ; -   ; -   
Paraná;PR; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 254.337.150,00 ; -   ; 41.296.203,22 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 20.648.101,61 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 18.111.488,05 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; 15.645.225,91 ; -   ; -   ; -   
Rio de Janeiro;RJ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 87.975.450,00 ; -   ; 14.662.575,00 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.331.287,50 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 7.656.662,53 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; 9.067.413,02 ; -   ; -   ; -   
